Category,Sub-Category,Status,"Asset Name","Last Quarter","Last Quarter Revenue (millions)","Nanalyze Valuation Ratio",ETF,SPAC,"Primary Ticker","Secondary Ticker","Refinitiv Lookup","Price as of 7/16/2021","Market Cap
(millions)",Currency,"Avg. Purchase Price","Gain Loss","Nanalyze Notes","Latest Article Date","Latest Article"
Computing,Cybersecurity,Avoiding,KnowBe4,,,,,,KNBE,,#VALUE!,33.66,5711.171,USD,,,"KnowBe4 is one that's easy to understand with clear metrics for investors to monitor. Risk averse investors may opt for an ETF  (choose Global X) or one of the biggest cybersecurity stocks for scale.",2021/03/31,https://www.nanalyze.com/2021/03/investing-security-awareness-knowbe4-stock/
Computing,Cybersecurity,Avoiding,"First Trust NASDAQ Cybersecurity ETF",,,,Y,,CIBR,,#VALUE!,46.4,3688.477097972,USD,,,"The top-three stocks in this ETF are anything but pure-play cybersecurity stocks. An avoidance of weighting pure-plays is the primary reason we'd avoid this ETF in favor of the Global X Cyber ETF.",2021/04/09,https://www.nanalyze.com/2021/04/best-cybersecurity-etf-invest-guide/
Computing,Cybersecurity,Avoiding,"ETFMG Prime Cyber Security ETF",,,,Y,,HACK,,#VALUE!,60.86,2140.07999362,USD,,,"This is the least concentrated ETF we looked at with 35 stocks making up 75% of the ETF's weighting. They're also holding names that aren't pure-play cybersecurity stocks.",2021/04/09,https://www.nanalyze.com/2021/04/best-cybersecurity-etf-invest-guide/
Computing,Cybersecurity,Avoiding,"iShares Cybersecurity and Tech ETF",,,,Y,,IHAK,,#VALUE!,42.92,503.66823561,USD,,,"While it has the smallest AUM, iShares is a quality brand and the ETF would have been our second choice if the Global X Cybersecurity ETF wasn't available.",2021/04/09,https://www.nanalyze.com/2021/04/best-cybersecurity-etf-invest-guide/
Computing,"Enterprise Big Data",Avoiding,"Snowflake Inc",,,,,,SNOW,,#VALUE!,249.4,73854.3,USD,,,"We would have bought this around what Buffet paid - $120 a share - but we're not touching it at today's inflated prices. We'll take another look if prices return to the 150 range.",2020/09/10,https://www.nanalyze.com/2020/09/warren-buffet-snowflake-stock/
Computing,eSports,Avoiding,Razer,,,,,,1337.HK,RAZFF,#VALUE!,2.17,19235.78,HKD,,,"We understand that gaming is a huge growth category, but we don't view playing games as something THAT disruptive. That said, we already have a lot of gaming exposure holding NVIDIA.",2017/07/13,https://www.nanalyze.com/2017/07/razer-ipo-investors-esports/
Computing,"Quantum Computing",Liking,IonQ,,,,,Y,DMYI,,#VALUE!,10.29,380.621,USD,,,"The leadership team has made a name for themselves in the academic community, we that bodes well for hiring talent. Solid list of investors. We need to see revenues and/or filings to properly decide.",2021/03/16,https://www.nanalyze.com/2021/03/ionq-quantum-computing-stock/
Computing,"Software Development",Liking,WalkMe,,,,,,WKME,,#VALUE!,29.06,2401.87,USD,,,"Too many buzzwords. When we finally made sense of them, we actually like what this SaaS company is doing, just not enough to buy the stock. Wait for the IPO dust to settle before doing anything.",2021/06/14,https://www.nanalyze.com/2021/06/walkme-digital-transformation-stock/
Fintech,"Fintech - General",Loving,Adyen,4Q2020,1040,14.139658653846155,,,ADYEN,ADYYF,#VALUE!,1934.4,58820.98,EUR,1630,0.18674846625766878,"We picked Adyen as the payments stock we felt best about when comparing is against competitors Square and Paypal. Geographical diversification was a big reason.",2020/10/14,https://www.nanalyze.com/2020/10/square-stock-vs-paypal-stock-vs-adyen-stock/
Fintech,"Fintech - General",Liking,"Global X Fintech",,,,Y,,FINX,,#VALUE!,47.31,1216.2508,USD,,,"The top three constituents are the big three payment stocks followed by a concentrated list of global financial technology companies. ",2020/10/05,https://www.nanalyze.com/2020/10/global-x-fintech-etf-ark-fintech-innovation-etf/
Fintech,"Fintech - General",Liking,Intapp,,,,,,INTA,,#VALUE!,27.87,1647,USD,,,"We don’t feel the need to add another fintech stock to our portfolio. There’s nothing wrong with Intapp, we just find DocuSign to be the more compelling one of the two.",2021/06/26,https://www.nanalyze.com/2021/06/intapp-stock-institutional-fintech-platform/
Fintech,"Fintech - General",Avoiding,"Ark Fintech Innovation",,,,Y,,ARKF,,#VALUE!,52.04,3639.0253663649996,USD,,,"Nearly 32% of  stocks held have a market cap greater than $100 billion - names like Amazon, Apple, Facebook, NVIDIA, Pinterest, and Salesforce. Buying Global X Fintech ETF instead.",2020/10/05,https://www.nanalyze.com/2020/10/global-x-fintech-etf-ark-fintech-innovation-etf/
Fintech,"Fintech - General",Avoiding,Lemonade,,,,,,LMND,,#VALUE!,103.83,6376.142,USD,,,"Giving away up to 40% of a premium to a charity seems excessive. Philanthropists didn't get wealthy investing in businesses like this one. ",2020/06/09,https://www.nanalyze.com/2020/06/insurance-lemonade-stock-ipo/
Fintech,"Fintech - General",Avoiding,Root,,,,,,ROOT,,#VALUE!,10.71,2708.859,USD,,,"We find the company's youthfulness to be risky. The real value they have is the data, but others are doing that too. What happens to them when autonomous driving finally gets here? ",2020/10/10,https://www.nanalyze.com/2020/10/root-insurance-insurtech-stock/
Fintech,"Fintech - General",Avoiding,Square,,,,,,SQ,,#VALUE!,237.05,107945.1,USD,,,"We don't like how Square buys bitcoin, and then sells it to people and calls that ""revenues."" Rubbish. We also don't like their over exposure to 'Murica. We bought shares in Adyen instead.",2020/10/15,https://www.nanalyze.com/2020/10/square-stock-vs-paypal-stock-vs-adyen-stock/
Fintech,"Fintech - General",Avoiding,"Upstart Holdings",,,,,,UPST,,#VALUE!,123.86,9525.352,USD,,,"This company makes their money extending loans to Americans with  no collateral. They're bundling and selling these loans to institutions. If America has a crisis, this company is in trouble. ",2020/12/08,https://www.nanalyze.com/2020/12/upstart-stock-ai-consumer-lending/
Fintech,LegalTech,Loving,DocuSign,,,,,,DOCU,,#VALUE!,277.01,53971.271051,USD,194.56,0.4237767269736841,"Leader w/ 70% market share, SaaS business model, growing organically & via acquisitions, $50 billion TAM with  3% penetration, reasonably priced, likely resilient in case of recession, no red flags.",2021/05/07,https://www.nanalyze.com/2021/05/legaltech-stock-fintech-investors/
Fintech,LegalTech,Liking,DISCO,,,,,,LAW,,"Not available yet","Not available yet","Not available yet","Not available yet",,,"Consistent revenues growth, and a network effect fuels growth. Focused on managing court cases which is bit limited as opposed to DocuSign's widespread applicability to contract use cases. ",2021/07/04,https://www.nanalyze.com/2021/07/disco-stock-tech-law/
Fintech,"Venture Capital",Liking,"Draper Esprit",3Q2020,31.23,10.655611591418507,,,GROW.L,GRWXF,#VALUE!,870,1331.099,GBp,,,"Provides some concentrated exposure to growth-stage startups. We'd consider entering a position on a dip. No, we haven't figured out a price target, but that's on our to-do list. ",2020/11/08,https://www.nanalyze.com/2020/11/draper-esprit-publicly-traded-vc/
Fintech,"Venture Capital",Liking,"Scottish Mortgage Investment Trust",3Q2019,154.42,28.23032962051548,,,SMT.L,STMZF,#VALUE!,1230.5,17437.31,GBp,,,"Love this firm's methodology. Highly diversified vehcile melding private and public companies. Had big run up with Tesla. Buying on dip (yes, we need to better define what that means).",2020/07/11,https://www.nanalyze.com/2020/07/about-scottish-mortgage-investment-trust/
Fintech,"Venture Capital",Avoiding,"180 Degree Capital",,,,,,TURN,,#VALUE!,8.06,83.61299,USD,,,"This firm used to be TINY, the nano VC that fell out of favor over time. 180 degree just hasn't had a very good track record. Throw in their miniscule size and it's an easy ""avoid.""",2020/03/10,https://www.nanalyze.com/2020/03/investing-publicly-traded-venture-capital-firms/
Fintech,"Venture Capital",Avoiding,"Baillie Gifford US Growth Trust",,,,,,USA.L,,#VALUE!,320.81,1042,GBp,,,"You couldn’t do wrong investing in the Baillie Gifford US Growth Trust for a diversified collection of actively managed stocks. Just don’t do it solely because they’re holding SpaceX.",2021/02/06,https://www.nanalyze.com/2021/02/investing-spacex-baillie-gifford/
Fintech,"Venture Capital",Avoiding,"IP Group",,,,,,IPO.L,,#VALUE!,113.6,1207.327,GBp,,,"Heavily focused on U.K. startup scene which is probably already flush with capital from  EIS scheme. Horrendous past performance. Prefer Draper Esprit or Scottish Mortgage instead.",2021/01/07,https://www.nanalyze.com/2021/01/ip-group-stock-invest/
Fintech,"Venture Capital",Avoiding,"The Trendlines Group",,,,,,TRNGY,,#VALUE!,3.86,83.86629,USD,,,"An interesting little company which provides some insights into how a venture capital firm operates. Too small for us. Note that  price and market cap in this row are different currencies (vendor issue).",2020/03/10,https://www.nanalyze.com/2020/03/investing-publicly-traded-venture-capital-firms/
Fintech,"Venture Capital",Avoiding,Softbank,,,,,,9984.T,SFTBF,#VALUE!,70.85,13497620,USD,,,"Only invest in what you understand. Good luck trying to understand this convoluted holding company that takes way too many risks. We like Mr. Son, but are avoiding his sacred cow.",2017/06/01,https://www.nanalyze.com/2017/06/intro-investing-softbank-stock/
General,General,Liking,"ARK Innovation",,,,Y,,ARKK,,#VALUE!,118.9,21262.765217273998,USD,,,"Picked up some shares of this highly diversified technology ETF which has massive amounts of capital flowing in. Will decide whether to buy more, hold, or sell when Nanalyze tech report is complete.",2020/05/12,https://www.nanalyze.com/2020/05/10-disruptive-tech-stocks-invest/
"Green Technology",AgTech,Liking,"Farmers Edge",4Q2020,19.12,6.626201621338912,,,FDGE.TO,,#VALUE!,12.11,506.7719,CAD,,,"We liked everything about this firm. Unfortunately, they're about half the way to our market cap cutoff of $1 billion. We'll be watching and waiting.",2021/03/12,https://www.nanalyze.com/2021/03/farmers-edge-stock-agtech-big-data/
"Green Technology",AgTech,Liking,GrowGeneration,,,,,,GRWG,,#VALUE!,40.29,2370.292,USD,,,"Partnered with  biggest brand names in  industry,  offers direct-to-farm delivery  along with equipment financing. 60% of revenues came from consumables. Growing like mad. Worth a closer look.",2021/06/09,https://www.nanalyze.com/2021/06/hydroponics-stocks-indoor-farming/
"Green Technology",AgTech,Avoiding,Hydrofarm,,,,,,HYFM,,#VALUE!,56.5,2248.681,USD,,,"We’re not convinced that vertical farming is going to displace traditional farming anytime soon. Therefore, this remains a play on cannabis, a theme we have been avoiding.",2020/11/19,"https://www.nanalyze.com/2020/11/investing-hydroponics-hydrofarm-stock/ "
"Green Technology",AgTech,Avoiding,"Scotts Miracle-Gro",,,,,,SMG,,#VALUE!,192.47,10721.16,USD,,,"About a fifth of SMG’s revenues could be attributed to the growth of cannabis and indoor farming. The rest comes from the American consumer's desire to have a greener lawn. Not pure-play enough.",2021/06/09,https://www.nanalyze.com/2020/01/cannabis-scotts-miracle-gro/
"Green Technology",AgTech,Avoiding,iPower,,,,,,IPW,,#VALUE!,7.35,180.843,USD,,,"More than 50% of their sales come from Amazon, and their online marketplace is propped up by Google ad spend. Not the sort of company we would ever consider investing in.",2021/06/09,https://www.nanalyze.com/2021/06/hydroponics-stocks-indoor-farming/
"Green Technology","Electric Vehicles",Avoiding,"Archer Aviation",,,,,Y,ACIC,,#VALUE!,9.93,620.625,USD,,,"Not a plane sold yet, just some extremely ambitious plans. We’d like to see more traction, especially when others are much further ahead. Be sure to read the fine print on the United Airlines news.",2021/02/16,https://www.nanalyze.com/2021/02/archer-aviation-stock/
"Green Technology","Electric Vehicles",Avoiding,Arcimoto,,,,,,FUV,,#VALUE!,14.72,526.7258,USD,,,"You can't talk about how you've built this great electric vehicle unless you have people willing to pay you for it at scale. No meaningful revenues makes this a big avoid.",2019/02/25,https://www.nanalyze.com/2019/02/electra-meccanica-arcimoto-stocks/
"Green Technology","Electric Vehicles",Avoiding,"Blink Charging Co.",,,,,Y,BLNK,,#VALUE!,39.28,1649.134,USD,,,"There are plenty of things not to like about Blink Charging Co., and we've seen how much momentum speculators can create in the EV space, so we're avoiding.",2018/05/09,https://www.nanalyze.com/2018/05/investing-electric-vehicle-charging-stations/
"Green Technology","Electric Vehicles",Avoiding,Chargepoint,,,,,,SBE,,#VALUE!,33.14,10149.5,USD,,,"Like most SPACs, it's about hitting grandiose growth targets that justify their valuation. The entire electric vehicle space is best avoided until investors start behaving more rationally. ",2020/09/26,https://www.nanalyze.com/2020/09/electric-vehicle-charging-stock/
"Green Technology","Electric Vehicles",Avoiding,Ehang,,,,,,EH,,#VALUE!,37.25,2038.641,USD,,,"Urban air mobility is a risky space because nobody knows if it's a pipe dream or not. There are lots of companies trying to bring it mainstream. We don’t like VIE structures so we're avoiding.",2019/11/06,https://www.nanalyze.com/2019/11/ehang-ipo-urban-air-mobility/
"Green Technology","Electric Vehicles",Avoiding,"Electra Meccanica",,,,,,SOLO,,#VALUE!,4.52,510.5325,USD,,,"In some parts of the U.S., you’d get your ass kicked for driving something that looks this ugly. No wonder they're not selling any.",2019/02/25,https://www.nanalyze.com/2019/02/electra-meccanica-arcimoto-stocks/
"Green Technology","Electric Vehicles",Avoiding,"Hyliion Holdings",,,,,Y,HYLN,,#VALUE!,11.84,2040.289,USD,,,"We don't like all the hype around a company with no revenues yet, and which lets a bunch of promotional crap grace their website. Tesla has driven extreme hype around EV stocks. Not good.",2020/06/22,https://www.nanalyze.com/2020/06/hyliion-electric-semi-truck/
"Green Technology","Electric Vehicles",Avoiding,Nikola,,,,,Y,NKLA,,#VALUE!,16.51,6502.464,USD,,,"We talked about the need for execution in the face of extreme hype and so far this SPAC has fallen flat on its face when it comes to making meaningful progress. Avoiding this and all EV SPACs.",2020/05/28,https://www.nanalyze.com/2020/05/nikola-motor-company-stock/
"Green Technology","Electric Vehicles",Avoiding,Nio,,,,,,NIO,,#VALUE!,46.91,76862.88,USD,,,"No, we don't like investing in companies with complex structures like VIEs, especially with some of the past malarky going on (cough… Luckin Coffee… cough).",2018/08/16,https://www.nanalyze.com/2018/08/chinese-electric-vehicle-nio-ipo/
"Green Technology","Electric Vehicles",Avoiding,Niu,,,,,,NIU,,#VALUE!,31.95,2436.986,USD,,,"This is a Chinese tech stock which trades in the U.S. under a variable interest entity (VIE) which is (excuse our French) shady AF. ",2018/09/25,https://www.nanalyze.com/2018/09/chinese-electric-scooter-niu-ipo/
"Green Technology","Electric Vehicles",Avoiding,Proterra,,,,,Y,ACTC,,#VALUE!,16.85,584.4844,USD,,,"Doesn't seem to be getting the traction we'd like to see. If you’re bullish on electric buses, and you also want to avoid putting all your eggs in one American basket, consider buying shares of BYD instead. ",2021/01/17,https://www.nanalyze.com/2021/01/electric-bus-proterra-stock/
"Green Technology","Electric Vehicles",Avoiding,"XL Fleet",,,,,Y,XL,,#VALUE!,7.95,1106.06,USD,,,"One of many companies coming out of the woodwork trying to sell an easy-to-digest electric vehicle thesis to the masses who will buy anything with the letters SPAC in it. Only our opinion, of course.",2021/01/06,"https://www.nanalyze.com/2021/01/investing-electrification-as-a-service/ "
"Green Technology","Electric Vehicles",Avoiding,"Arrival EV",,,,,Y,ARVL,,#VALUE!,17.91,10856.28,USD,,,"They have an order from UPS for 10,000 vehicles “subject to amendment and cancellation by UPS.” So, what they have is pretty much nothing that’s binding. We've seen this before and we don't like it.",2021/05/14,https://www.nanalyze.com/2021/05/disruptive-technology-spacs/
"Green Technology","Energy Storage",Loving,Enersys,1Q2021,751.07,1.3347357769582062,,,ENS,,#VALUE!,93.62,4009.92,USD,92.27,0.014630974314511852," Expects growth from 5G, raw materials account for over half of their cost of goods sold, lead is the biggest, as they build lithium ion and lead acid batteries. Leader in industrial batteries. ",2021/04/26,https://www.nanalyze.com/2021/04/good-battery-stock-tech/
"Green Technology","Energy Storage",Avoiding,BYD,,,,,,1211.HK,,#VALUE!,245,646472.7,CNY,,,"There's a lot more to this stock than just batteries, and we're going to take a closer look at them in a future article. Though the VIE structure remains a concern, we want to see if Warren Buffett was right.",2021/02/14,https://www.nanalyze.com/2021/02/8-biggest-lithium-battery-stocks/
"Green Technology","Energy Storage",Avoiding,CATL,,,,,,"	300750.SZ",,#VALUE!,450,1048263,CNY,,,"Chinese firm that's now the largest manufacturer of lithium batteries in China and third in the world. We're staying away because we don't like VIE structures.",2021/02/14,https://www.nanalyze.com/2021/02/8-biggest-lithium-battery-stocks/
"Green Technology","Energy Storage",Avoiding,Energous,,,,,,WATT,,#VALUE!,2.72,168.4756,USD,,,"It's been four years since we concluded that what you're buying here seems to be a whole lot of speculation and still no traction in the form of revenues. That doesn't seem to have changed.",2017/01/13,https://www.nanalyze.com/2017/01/energous-watt-stock-price/
"Green Technology","Energy Storage",Avoiding,"EOS Energy Storage",,,,,Y,EOSE,,#VALUE!,19.39,1004.427,USD,,,"It’s most concerning that none of their high-profile customers have given then any meaningful revenues. It's not obvious how much of their pipeline consists of non-binding agreements.",2020/12/13,https://www.nanalyze.com/2020/12/energy-storage-stocks-public/
"Green Technology","Energy Storage",Avoiding,Glencore,,,,,,GLEN.L,,#VALUE!,297.55,39962.7,GBp,,,"When we look at the bigger picture though, Glencore’s revenues that will be attributed to cobalt will pale in comparison to broader company revenues as a whole. ",2018/03/19,https://www.nanalyze.com/2018/03/investing-worlds-largest-producer-cobalt/
"Green Technology","Energy Storage",Avoiding,Quantumscape,,,,,Y,QS,,#VALUE!,26.96,10945.06,USD,,,"Even if the company were trading at the $10 a share that institutional investors paid, we wouldn’t consider investing in it pre-revenue. Too many battery companies have failed at this stage.",2020/12/13,https://www.nanalyze.com/2020/12/energy-storage-stocks-public/
"Green Technology","Energy Storage",Avoiding,"Samsung SDI",,,,,,006400.KS,,#VALUE!,674000,47034900,KRW,,,"Korean firm with a share price that's been on a tear lately. Looks appealing based on revenue growth, but we dislike not having insights into revenue contributions from lithium ion batteries.",2021/02/14,https://www.nanalyze.com/2021/02/8-biggest-lithium-battery-stocks/
"Green Technology","Energy Storage",Avoiding,Stem,,,,,Y,STPK,,#VALUE!,35.09,4412.726,USD,,,"They need to execute on their backlog and show us the 348% in revenue growth for 2021. After the deal closes, we may take a closer look keeping in mind the $10 per share  institutional investors paid. ",2020/12/13,https://www.nanalyze.com/2020/12/energy-storage-stocks-public/
"Green Technology","Energy Storage",Avoiding,Varta,,,,,,VAR1.DE,,#VALUE!,135.55,5454.907,EUR,,,"Apple could be responsible for more than 50% of Varta’s revenues. If Apple ever pulls that relationship, Varta is screwed.",2021/03/20,https://www.nanalyze.com/2021/03/global-battery-manufacturer-stocks/
"Green Technology","Energy Storage",Avoiding,Enovix,,,,,Y,RSVA,,#VALUE!,19.45,273.9757,USD,,,"We don't invest in pre-revenue companies, nor do we invest in companies that aren’t expecting meaningful revenues this year or the next. 2022 = $11 million then 2023 = $176 million? Alrighty then.",2021/05/14,https://www.nanalyze.com/2021/05/disruptive-technology-spacs/
"Green Technology","Food Tech",Loving,"Beyond Meat",2Q2021,108.16,21.189758228550296,,,BYND,,#VALUE!,145.37,9167.537,USD,116.5,0.2478111587982833,"There are some pretty bullish industry reports hyping the potential of food tech so we started a small position on a dip. Not adding until we see some progress on price reductions.",2021/04/25,https://www.nanalyze.com/2020/11/beyond-meat-stock-bynd/
"Green Technology","Food Tech",Liking,Agronomics,,,,,,ANIC.L,AGNMF,#VALUE!,23.5,187.9075,GBp,,,"If this company wasn't so small we'd be quite interested in taking a small position. They're like a publicly traded VC company. But historically, these types of vehicles haven't performed well.",2020/04/28,https://www.nanalyze.com/2020/04/clean-food-stock-not-beyond-meat/
"Green Technology","Food Tech",Avoiding,"AppHarvest ",,,,,Y,APPH,,#VALUE!,15.32,1535.88,USD,,,"AppHarvest is currently trading at a huge premium – $16.40 – more than +64% above what institutional investors were willing to pay just months ago. We're waiting to see 2021 full-year revenues in 2022.",2021/04/16,https://www.nanalyze.com/2021/04/indoor-farming-stocks-foodtech-invest/
"Green Technology","Food Tech",Avoiding,AeroFarms,,,,,Y,SV,,#VALUE!,10.01,287.7875,USD,,,"Like AppHarvest, AeroFarms is also expecting revenues in 2021 to the tune of $4 million, which doesn't seem a whole lot for a leader in vertical farming with products in 200 stores. Checking back in 2022.",2021/04/16,https://www.nanalyze.com/2021/04/indoor-farming-stocks-foodtech-invest/
"Green Technology","Fuel Cells",Avoiding,"Afc Energy",,,,,,AFC.L,AFGYF,#VALUE!,58,425.0692,GBp,,,"No revenue growth. Share price has spiked along with the rest of the herd. ",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology","Fuel Cells",Avoiding,"Ballard Power Systems",,,,,,BLDP,,#VALUE!,16.93,6311.619,USD,,,"One of the biggest fuel cell stocks but they can't manage to get the revenue growth needed to take things to the next level",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology","Fuel Cells",Avoiding,"Bloom Energy",,,,,,BE,,#VALUE!,24.65,4249.41,USD,,,"We are avoiding fuel cell technologies in our portfolio altogether because we believe the technology cannot get proper traction. It's the graphene of green energy.",2018/06/15,https://www.nanalyze.com/2018/06/bloom-energy-stock-ipo/
"Green Technology","Fuel Cells",Avoiding,"Ceres Power Holdings",,,,,,CWR,CPWHF,#VALUE!,938.5,1786.804,GBp,,," Growing revenues and growing stock price. We're avoiding all fuel cell stocks right now but this one may merit a second look at some point when the fuel cell dust settles. ",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology","Fuel Cells",Avoiding,"Fuelcell Energy",,,,,,FCEL,,#VALUE!,8.8,2837.959,USD,,,"Revenues continue to slip while the stock price soars on the back of Robinhood muppets that will buy just about anything their friends to. Do that trade for the gram, brah.",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology","Fuel Cells",Avoiding,HyperSolar,,,,,,HYSR,,#VALUE!,0.0829,312.8577,USD,,,"Last we checked this was an OTC company going nowhere fast. (Checks notes.) Nothing has changed there.",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology","Fuel Cells",Avoiding,"Itm Power",,,,,,ITM.L,ITMPF,#VALUE!,366.2,2016.51,GBp,,,"Burning tons of cash relative to the trickle of revenues they're putting out. We're on the sidelines for all fuel cell stocks because of all the hype surrounding the theme.",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology","Fuel Cells",Avoiding,"Plug Power",,,,,,PLUG,,#VALUE!,29.17,16577.82,USD,,,"Perhaps the most well known of all fuel cell stocks and - as measured by revenue growth - perhaps the most successful. Too volatile so staying on sidelines.",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology","Fuel Cells",Avoiding,"Proton Motor Power Systems",,,,,,PPS.L,,#VALUE!,55.5,429.7755,GBp,,,"No meaningful revenues and burning cash like its going out of style. Nothing to see here. Moving on.",2020/05/19,https://www.nanalyze.com/2020/05/investing-in-fuel-cell-stocks/
"Green Technology",Lithium,Avoiding,"Albemarle Corporation",,,,,,ALB,,#VALUE!,157.97,18438.55,USD,,,"The lithium investment thesis seems too far detached from the underlying disruptive technologies driving the commodity’s price. We're staying away.",2020/10/28,https://www.nanalyze.com/2020/10/investing-in-lithium/
"Green Technology",Lithium,Avoiding,"FMC Corporation",,,,,,FMC,,#VALUE!,112.04,14439.33,USD,,,"The lithium investment thesis seems too far detached from the underlying disruptive technologies driving the commodity’s price. We're staying away.",2020/10/28,https://www.nanalyze.com/2020/10/investing-in-lithium/
"Green Technology",Lithium,Avoiding,"Ganfeng Lithium",,,,,,002460.SZ,,#VALUE!,120.15,159981.3,CNY,,,"We've largely been avoiding China tech stocks that utilize VIE structures and we also don't believe lithium is that viable of an investment thesis.",2017/05/09,https://www.nanalyze.com/2017/05/invest-big-chinese-lithium-company/
"Green Technology",Lithium,Avoiding,"Livent Corporation",,,,,,LTHM,,#VALUE!,17.35,2770.626,USD,,,"The lithium investment thesis seems too far detached from the underlying disruptive technologies driving the commodity’s price. We're staying away.",2020/10/28,https://www.nanalyze.com/2020/10/investing-in-lithium/
"Green Technology",Lithium,Avoiding,"Sociedad Química y Minera de Chile S.A.",,,,,,SQM,,#VALUE!,42.48,12315.62,USD,,,"The lithium investment thesis seems too far detached from the underlying disruptive technologies driving the commodity’s price. We're staying away.",2020/10/28,https://www.nanalyze.com/2020/10/investing-in-lithium/
"Green Technology",Uranium,Avoiding,"Kazatomprom ",,,,,,0ZQ.F,,#VALUE!,23.9,3293829,EUR,,,"Lots of exchange rate risk and political risk (partly state-owned enterprise of a non-democratic country). Cameco would be a much less risky alternative since commodities are risky as it is.",2021/07/09,https://www.nanalyze.com/2021/07/best-uranium-mining-stocks/
"Green Technology",Uranium,Avoiding,"CGN Mining",,,,,,1164.HK,,#VALUE!,0.63,4158.43,HKD,,,"Cayman Islands firm. Annual report  is a convoluted document that heavily relies on management commentary, and doesn’t break out segments or projects in its financials. ",2021/07/09,https://www.nanalyze.com/2021/07/best-uranium-mining-stocks/
"Green Technology",Uranium,Avoiding,"Cameco Corporation",,,,,,CCJ,,#VALUE!,18.33,9062.292,USD,,,"Cameco is the best uranium stock out there for those investors who find the uranium mining thesis compelling. We find it to be filled with far too many uncertainties which is typical of commodities.",2021/07/09,https://www.nanalyze.com/2021/07/best-uranium-mining-stocks/
"Green Technology","Renewable Energy",Loving,"Invesco Solar",,,,Y,,TAN,,#VALUE!,82.47,2962.683394323,USD,27.77,1.96975153042852,"Solar has been on a tear and we're slowly trimming this as it continues to hit new highs. We believe some of the constituents are being heavily hyped right now.",2020/09/29,https://www.nanalyze.com/2020/09/only-solar-energy-etf/
"Green Technology","Renewable Energy",Loving,"Nextera Energy",1Q2021,3730,9.633693029490617,,,NEE,,#VALUE!,73.28,143734.7,USD,30.02,1.4410393071285812,"We've been longtime shareholders in this company for the dividend growth. Come for the wind energy, stay for the growing dividend. Biggest renewable energy company in the world. Holding long.",2020/10/07,https://www.nanalyze.com/2020/10/biggest-renewable-energy-company-world/
"Green Technology","Renewable Energy",Liking,"Ishares:Gl Cl",,,,,,ICLN,,#VALUE!,22.41,5932.05553983,USD,,,"As we’re already overweight on the world’s largest generator of green energy, we’re liking ICLN but not loving it.",2019/07/27,https://www.nanalyze.com/2019/07/etf-investing-clean-energy/
"Green Technology","Renewable Energy",Liking,Ørsted,1Q2021,18940,4.8441486272439285,,,ORSTED.CO,,#VALUE!,139.244,366992.7,USD,,,"Offshore revenues are made up of two key components: power generation and construction agreements, with each contributing half of revenues. We're sticking with NEE as a wind play.",2019/05/19,https://www.nanalyze.com/2019/05/wind-energy-stock-wind-power/
"Green Technology","Renewable Energy",Liking,"Vestas Wind Systems A",1Q2021,1960,29.474936224489795,,,VWS.CO,VWSYF,#VALUE!,228.9,231083.5,DKK,,,"We're already overweight the world's biggest energy company, NextEra Energy, which is over 60% wind power. We don't want more wind exposure.",2019/11/22,https://www.nanalyze.com/2019/11/largest-wind-turbine-manufacturer/
"Green Technology","Renewable Energy",Avoiding,"Array Technologies",,,,,,ARRY,,#VALUE!,16.21,2058.58,USD,,,"The bear thesis is a lack of international sales, a business model without recurring revenues, and a great deal of regulatory risk",2020/10/17,https://www.nanalyze.com/2020/10/array-technologies-solar-tracking-stock/
"Green Technology","Renewable Energy",Avoiding,"BWX Technologies",,,,,,BWXT,,#VALUE!,59.21,5633.308,USD,,,"Sole manufacturer of naval nuclear reactors for U.S. submarines and aircraft carriers - 75% of revs. Environment can change very quickly, whether that’s for political, regulatory, or natural reasons. ",2019/02/14,https://www.nanalyze.com/2019/02/invest-nuclear-energy-stock/
"Green Technology","Renewable Energy",Avoiding,Ormat,,,,,,ORA,,#VALUE!,65.38,3660.26,USD,,,"Pure-play geothermal energy stock. Roughly responsible for 21% of the world’s installed geothermal capacity. A renewable energy that's too niche for us. Sticking with Next Era Energy.",2019/06/19,https://www.nanalyze.com/2019/06/geothermal-energy-stock-investors/
"Green Technology","Renewable Energy",Avoiding,"Sunnova Energy",,,,,,NOVA,,#VALUE!,34.38,3849.533,USD,,,"The business model seems straightforward but has many embedded risks - like 20-year maintainence contracts, the American consumer,  regulatory risk, and the list goes on.",2019/07/16,https://www.nanalyze.com/2019/07/sunnova-energy-residential-solar-stock/
